Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
252.8	254.8	0	1000
252.85	254.85	0	1000
252.9	254.9	0	1000
252.95	254.95	0	1000
253	255	0	1000
253.05	255.05	0	1000
253.1	255.1	0	1000
253.15	255.15	0	1000
253.2	255.2	0	1000
253.25	255.25	0	1000
253.3	255.3	0	1000
253.35	255.35	0	1000
253.4	255.4	0	1000
253.45	255.45	0	1000
253.5	255.5	0	1000
253.55	255.55	0	1000
253.6	255.6	0	1000
253.65	255.65	0	1000
253.7	255.7	0	1000
253.75	255.75	0	1000
254.15	256.15	0	1000
254.35	256.35	0	1000
254.4	256.4	0	1000
254.45	256.45	0	1000
254.5	256.5	0	1000
254.55	256.55	0	1000
254.6	256.6	0	1000
254.65	256.65	0	1000
254.7	256.7	0	1000
254.75	256.75	0	1000
254.8	256.8	0	1000
254.85	256.85	0	1000
254.9	256.9	0	1000
254.95	256.95	0	1000
255.05	257.05	0	1000
255.1	257.1	0	1000
255.3	257.3	0	1000
255.35	257.35	0	1000
255.7	257.7	0	1000
255.75	257.75	0	1000
255.8	257.8	0	1000
255.85	257.85	0	1000
255.9	257.9	0	1000
255.95	257.95	0	1000
256	258	0	1000
256.05	258.05	0	1000
256.1	258.1	0	1000
256.15	258.15	0	1000
256.2	258.2	0	1000
256.25	258.25	0	1000
256.3	258.3	0	1000
256.35	258.35	0	1000
256.7	258.7	0	1000
256.75	258.75	0	1000
256.8	258.8	0	1000
256.85	258.85	0	1000
256.9	258.9	0	1000
256.95	258.95	0	1000
257	259	0	1000
257.05	259.05	0	1000
257.1	259.1	0	1000
257.15	259.15	0	1000
257.2	259.2	0	1000
257.25	259.25	0	1000
257.3	259.3	0	1000
257.35	259.35	0	1000
257.4	259.4	0	1000
257.45	259.45	0	1000
257.5	259.5	0	1000
257.55	259.55	0	1000
257.6	259.6	0	1000
257.65	259.65	0	1000
257.7	259.7	0	1000
257.75	259.75	0	1000
257.8	259.8	0	1000
257.85	259.85	0	1000
257.9	259.9	0	1000
257.95	259.95	0	1000
258	260	0	1000
258.05	260.05	0	1000
258.1	260.1	0	1000
258.15	260.15	0	1000
258.2	260.2	0	1000
258.25	260.25	0	1000
258.3	260.3	0	1000
258.35	260.35	0	1000
258.4	260.4	0	1000
258.45	260.45	0	1000
258.5	260.5	0	1000
258.55	260.55	0	1000
258.6	260.6	0	1000
258.65	260.65	0	1000
258.7	260.7	0	1000
258.75	260.75	0	1000
258.8	260.8	0	1000
258.85	260.85	0	1000
258.9	260.9	0	1000
258.95	260.95	0	1000
259	261	0	1000
259.05	261.05	0	1000
259.1	261.1	0	1000
259.15	261.15	0	1000
259.2	261.2	0	1000
259.25	261.25	0	1000
259.3	261.3	0	1000
259.35	261.35	0	1000
259.4	261.4	0	1000
259.45	261.45	0	1000
259.5	261.5	0	1000
259.55	261.55	0	1000
259.6	261.6	0	1000
259.65	261.65	0	1000
259.7	261.7	0	1000
259.75	261.75	0	1000
259.8	261.8	0	1000
259.85	261.85	0	1000
259.9	261.9	0	1000
259.95	261.95	0	1000
260	262	0	1000
260.05	262.05	0	1000
260.1	262.1	0	1000
260.15	262.15	0	1000
260.2	262.2	0	1000
260.25	262.25	0	1000
260.3	262.3	0	1000
260.35	262.35	0	1000
260.4	262.4	0	1000
260.45	262.45	0	1000
260.5	262.5	0	1000
260.55	262.55	0	1000
260.6	262.6	0	1000
260.65	262.65	0	1000
260.7	262.7	0	1000
260.75	262.75	0	1000
260.8	262.8	0	1000
260.85	262.85	0	1000
260.9	262.9	0	1000
260.95	262.95	0	1000
261	263	0	1000
261.05	263.05	0	1000
261.1	263.1	0	1000
261.15	263.15	0	1000
261.2	263.2	0	1000
261.25	263.25	0	1000
261.3	263.3	0	1000
261.35	263.35	0	1000
261.4	263.4	0	1000
261.45	263.45	0	1000
261.5	263.5	0	1000
261.55	263.55	0	1000
261.6	263.6	0	1000
261.65	263.65	0	1000
261.7	263.7	0	1000
261.75	263.75	0	1000
261.8	263.8	0	1000
261.85	263.85	0	1000
261.9	263.9	0	1000
261.95	263.95	0	1000
262	264	0	1000
262.05	264.05	0	1000
262.1	264.1	0	1000
262.15	264.15	0	1000
262.2	264.2	0	1000
262.25	264.25	0	1000
262.3	264.3	0	1000
262.35	264.35	0	1000
262.4	264.4	0	1000
262.45	264.45	0	1000
262.5	264.5	0	1000
262.55	264.55	0	1000
262.6	264.6	0	1000
262.65	264.65	0	1000
262.7	264.7	0	1000
262.75	264.75	0	1000
262.8	264.8	0	1000
262.85	264.85	0	1000
263.95	265.95	0	1000
264	266	0	1000
264.05	266.05	0	1000
264.1	266.1	0	1000
264.15	266.15	0	1000
264.2	266.2	0	1000
264.25	266.25	0	1000
264.3	266.3	0	1000
264.35	266.35	0	1000
264.4	266.4	0	1000
264.45	266.45	0	1000
264.5	266.5	0	1000
264.55	266.55	0	1000
264.6	266.6	0	1000
264.65	266.65	0	1000
264.7	266.7	0	1000
264.75	266.75	0	1000
264.8	266.8	0	1000
264.85	266.85	0	1000
264.9	266.9	0	1000
264.95	266.95	0	1000
265	267	0	1000
265.05	267.05	0	1000
265.1	267.1	0	1000
265.15	267.15	0	1000
265.2	267.2	0	1000
265.25	267.25	0	1000
265.3	267.3	0	1000
265.35	267.35	0	1000
265.4	267.4	0	1000
265.45	267.45	0	1000
265.5	267.5	0	1000
265.55	267.55	0	1000
265.6	267.6	0	1000
265.65	267.65	0	1000
265.7	267.7	0	1000
265.75	267.75	0	1000
265.8	267.8	0	1000
265.85	267.85	0	1000
265.9	267.9	0	1000
265.95	267.95	0	1000
266	268	0	1000
266.05	268.05	0	1000
266.1	268.1	0	1000
266.15	268.15	0	1000
266.2	268.2	0	1000
266.25	268.25	0	1000
266.3	268.3	0	1000
266.35	268.35	0	1000
266.4	268.4	0	1000
266.45	268.45	0	1000
266.5	268.5	0	1000
266.55	268.55	0	1000
266.6	268.6	0	1000
266.65	268.65	0	1000
270.35	272.35	0	1000
270.4	272.4	0	1000
270.45	272.45	0	1000
270.5	272.5	0	1000
270.55	272.55	0	1000
270.6	272.6	0	1000
270.65	272.65	0	1000
270.7	272.7	0	1000
270.75	272.75	0	1000
270.8	272.8	0	1000
270.85	272.85	0	1000
270.9	272.9	0	1000
270.95	272.95	0	1000
271	273	0	1000
271.05	273.05	0	1000
271.1	273.1	0	1000
271.15	273.15	0	1000
271.2	273.2	0	1000
271.25	273.25	0	1000
271.3	273.3	0	1000
271.35	273.35	0	1000
271.4	273.4	0	1000
271.45	273.45	0	1000
271.5	273.5	0	1000
271.55	273.55	0	1000
271.6	273.6	0	1000
271.65	273.65	0	1000
271.7	273.7	0	1000
271.75	273.75	0	1000
271.8	273.8	0	1000
271.85	273.85	0	1000
271.9	273.9	0	1000
271.95	273.95	0	1000
272	274	0	1000
272.05	274.05	0	1000
272.1	274.1	0	1000
272.15	274.15	0	1000
272.2	274.2	0	1000
272.25	274.25	0	1000
272.3	274.3	0	1000
272.35	274.35	0	1000
272.4	274.4	0	1000
272.45	274.45	0	1000
272.5	274.5	0	1000
272.55	274.55	0	1000
272.6	274.6	0	1000
272.65	274.65	0	1000
272.7	274.7	0	1000
272.75	274.75	0	1000
272.8	274.8	0	1000
272.85	274.85	0	1000
272.9	274.9	0	1000
272.95	274.95	0	1000
273	275	0	1000
273.05	275.05	0	1000
273.1	275.1	0	1000
273.15	275.15	0	1000
273.2	275.2	0	1000
273.25	275.25	0	1000
273.3	275.3	0	1000
273.35	275.35	0	1000
273.4	275.4	0	1000
273.45	275.45	0	1000
273.5	275.5	0	1000
273.55	275.55	0	1000
273.6	275.6	0	1000
273.65	275.65	0	1000
273.7	275.7	0	1000
273.75	275.75	0	1000
273.8	275.8	0	1000
273.85	275.85	0	1000
273.9	275.9	0	1000
273.95	275.95	0	1000
274	276	0	1000
274.05	276.05	0	1000
274.1	276.1	0	1000
274.15	276.15	0	1000
274.2	276.2	0	1000
274.25	276.25	0	1000
274.3	276.3	0	1000
274.35	276.35	0	1000
274.4	276.4	0	1000
274.45	276.45	0	1000
274.5	276.5	0	1000
274.55	276.55	0	1000
274.6	276.6	0	1000
274.65	276.65	0	1000
274.7	276.7	0	1000
274.75	276.75	0	1000
274.8	276.8	0	1000
274.85	276.85	0	1000
274.9	276.9	0	1000
274.95	276.95	0	1000
275	277	0	1000
275.05	277.05	0	1000
275.1	277.1	0	1000
275.15	277.15	0	1000
275.2	277.2	0	1000
275.25	277.25	0	1000
275.3	277.3	0	1000
275.35	277.35	0	1000
275.4	277.4	0	1000
275.45	277.45	0	1000
275.5	277.5	0	1000
275.55	277.55	0	1000
275.6	277.6	0	1000
275.65	277.65	0	1000
275.7	277.7	0	1000
275.75	277.75	0	1000
275.8	277.8	0	1000
275.85	277.85	0	1000
275.9	277.9	0	1000
275.95	277.95	0	1000
276	278	0	1000
276.05	278.05	0	1000
276.1	278.1	0	1000
276.15	278.15	0	1000
276.2	278.2	0	1000
276.25	278.25	0	1000
276.3	278.3	0	1000
276.35	278.35	0	1000
276.4	278.4	0	1000
276.45	278.45	0	1000
276.5	278.5	0	1000
276.55	278.55	0	1000
276.6	278.6	0	1000
276.65	278.65	0	1000
276.7	278.7	0	1000
276.75	278.75	0	1000
276.8	278.8	0	1000
276.85	278.85	0	1000
276.9	278.9	0	1000
276.95	278.95	0	1000
277	279	0	1000
277.05	279.05	0	1000
277.1	279.1	0	1000
277.15	279.15	0	1000
277.25	279.25	0	1000
277.3	279.3	0	1000
277.35	279.35	0	1000
277.4	279.4	0	1000
277.45	279.45	0	1000
277.5	279.5	0	1000
277.55	279.55	0	1000
277.6	279.6	0	1000
277.65	279.65	0	1000
277.7	279.7	0	1000
277.75	279.75	0	1000
277.8	279.8	0	1000
277.85	279.85	0	1000
277.9	279.9	0	1000
277.95	279.95	0	1000
278	280	0	1000
278.05	280.05	0	1000
278.1	280.1	0	1000
278.15	280.15	0	1000
278.2	280.2	0	1000
278.25	280.25	0	1000
278.3	280.3	0	1000
278.35	280.35	0	1000
278.4	280.4	0	1000
278.45	280.45	0	1000
278.5	280.5	0	1000
278.55	280.55	0	1000
278.6	280.6	0	1000
278.65	280.65	0	1000
278.7	280.7	0	1000
278.75	280.75	0	1000
278.8	280.8	0	1000
278.9	280.9	0	1000
278.95	280.95	0	1000
279	281	0	1000
280.3	282.3	0	1000
280.35	282.35	0	1000
280.4	282.4	0	1000
280.45	282.45	0	1000
280.5	282.5	0	1000
280.55	282.55	0	1000
280.6	282.6	0	1000
280.65	282.65	0	1000
280.7	282.7	0	1000
280.75	282.75	0	1000
280.8	282.8	0	1000
280.85	282.85	0	1000
280.9	282.9	0	1000
280.95	282.95	0	1000
281	283	0	1000
281.05	283.05	0	1000
281.1	283.1	0	1000
281.15	283.15	0	1000
281.2	283.2	0	1000
281.25	283.25	0	1000
281.3	283.3	0	1000
281.35	283.35	0	1000
281.4	283.4	0	1000
281.45	283.45	0	1000
281.5	283.5	0	1000
281.55	283.55	0	1000
281.6	283.6	0	1000
284.4	286.4	0	1000
284.5	286.5	0	1000
284.55	286.55	0	1000
284.6	286.6	0	1000
284.65	286.65	0	1000
284.7	286.7	0	1000
