,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,Time_Start,Time_End,Humpback
1,40.63295957,-0.944199016,0.153130565,2.887319178,6.753667493,3.663710863,3.139057571,1.320086942,-6.635077562,-2.989336961,0.265789704,2.980625114,0.568885508,0,0.1,0
2,40.97131078,-1.399132113,0.46668771,3.720289677,6.391987854,3.918249163,4.822149707,2.032583139,-3.772289382,-0.709069148,0.673790447,5.236101947,3.775919139,0.1,0.2,0
3,39.95072403,-2.82069754,-0.262574209,5.013500535,8.95267721,3.174671884,3.266300464,2.581142585,-1.691994353,-0.608900089,-1.028161208,4.245054613,1.586359853,0.2,0.3,0
4,40.03777303,-2.348579513,-0.541004102,6.117677773,8.75812429,1.376864232,2.089340617,3.141055093,-3.587310806,-0.884336663,1.780699498,4.059618504,0.989644559,0.3,0.4,0
5,39.48497347,-2.843206242,0.336780692,6.558088598,7.978745111,1.035778719,-0.714809066,0.104466061,-3.02999732,-0.016411411,0.471995786,3.850127246,1.84014381,0.4,0.5,0
6,40.83509335,-0.182438558,3.405569149,7.334063592,6.399628151,-0.917097851,-0.410557021,-1.186176667,-6.426822998,-1.578467062,0.976205824,1.78670994,-0.371129458,0.5,0.6,0
7,51.57284699,4.683982546,-4.413618416,-1.825628273,-2.389639637,-4.523861953,-1.185250215,-0.021637431,2.650557516,1.653692884,-2.466844771,3.349421838,-0.660356885,0.6,0.7,0
8,40.52178771,-0.917274007,2.905566442,6.99246616,6.835903801,2.580550007,1.622595562,-0.072062025,-5.153660257,-1.08647996,-0.428480287,0.746428197,0.352216396,0.7,0.8,0
9,40.12005949,-0.809951742,3.48474226,6.835693818,7.800288215,2.568136629,1.853171649,-0.367720801,-5.788349566,-2.553955473,-2.687202895,-0.307980992,-0.849780065,0.8,0.9,0
10,40.53478931,-2.373177496,-0.18171913,6.13468571,5.858036005,3.17595081,5.005421479,0.007934483,-1.48601356,4.327753485,-0.219635799,3.052824895,2.434186569,0.9,1,0
