Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
7200	7274.7	0	2000
7275	7275.4	0	2000
7276	7352.4	0	2000
7355	7370.6	0	2000
7375.1	7375.4	0	2000
7379	7400.9	0	2000
7403.6	7580.6	0	2000
7587.8	7609.4	0	2000
7610.5	7622.6	0	2000
7632.8	7699.9	0	2000
7700.3	7741.6	0	2000
7742.6	7743.1	0	2000
7743.6	7773.4	0	2000
7779.5	7809.9	0	2000
7811.1	7811.4	0	2000
7814.8	7823.2	0	2000
7834	7838.4	0	2000
7841.3	7849.4	0	2000
7873.6	7881.7	0	2000
7883	7887.7	0	2000
7890.8	7928.2	0	2000
7930.6	7990.4	0	2000
7995.8	8006.9	0	2000
8017	8027.6	0	2000
8030	8030.9	0	2000
8032.8	8045.2	0	2000
8046.1	8053.9	0	2000
8054.6	8099.6	0	2000
8100.1	8101.2	0	2000
8105.5	8105.6	0	2000
8106.1	8206.5	0	2000
8208.9	8381.5	0	2000
8383.7	8400.8	0	2000
8402.9	8417.6	0	2000
8418.1	8590.6	0	2000
8593	8596.2	0	2000
8596.5	8622.1	0	2000
8625	8627	0	2000
8629.2	8644.8	0	2000
8645.6	8659.8	0	2000
8660.4	8661.1	0	2000
8661.6	8674.6	0	2000
8674.7	8675.3	0	2000
8683.4	8692.3	0	2000
8700	8733.8	0	2000
8736.4	8737.1	0	2000
8739.2	8760.1	0	2000
8760.5	8813.8	0	2000
8821	9066.3	0	2000
9071.5	9124.2	0	2000
9125.2	9130.1	0	2000
9132.7	9133.3	0	2000
9136.6	9154.6	0	2000
9160.7	9180.8	0	2000
9182.6	9208.2	0	2000
9208.5	9300.6	0	2000
9301.2	9326.1	0	2000
9326.5	9326.7	0	2000
9341.1	9369.5	0	2000
9369.9	9370	0	2000
9381.4	9381.6	0	2000
9381.7	9432	0	2000
9432.6	9446.5	0	2000
9447.2	9447.6	0	2000
9448	9534.1	0	2000
9536.6	9536.7	0	2000
9540.2	9550.7	0	2000
9551.1	9582.7	0	2000
9583	9583.1	0	2000
9583.2	9584.7	0	2000
9588.2	9605.7	0	2000
9606.5	9615	0	2000
9629.4	9629.5	0	2000
9631.6	9646.5	0	2000
9647.5	9656.5	0	2000
9657.7	9658.6	0	2000
9661	9669.8	0	2000
9675.5	9690.3	0	2000
9692.4	9700.5	0	2000
9700.7	9700.8	0	2000
9701.1	9701.3	0	2000
9702.4	9709.2	0	2000
9712.6	9716.2	0	2000
9717	9747.1	0	2000
9751.1	9768.1	0	2000
9769.2	9769.6	0	2000
9773.9	9796.5	0	2000
9807.1	9822.2	0	2000
9823.9	9844.6	0	2000
9851.2	9866.3	0	2000
9867.1	9868.6	0	2000
9869.1	9901.3	0	2000
9907.5	9924.5	0	2000
9926.9	9944	0	2000
9949.7	9961.6	0	2000
9965.4	9977.3	0	2000
9977.7	9981.2	0	2000
9981.4	9995	0	2000
10001.4	10030.5	0	2000
10039.6	10073.7	0	2000
10074	10100	0	2000
10101.4	10116.7	0	2000
10119.5	10172.3	0	2000
10180.2	10217.2	0	2000
10219.6	10307.7	0	2000
10308.4	10343.8	0	2000
10346.6	10379	0	2000
10391.2	10391.3	0	2000
10400.5	10403.7	0	2000
10412.9	10443.3	0	2000
10446	10448.1	0	2000
10452.1	10497	0	2000
10497.9	10618.2	0	2000
10625.9	10630.2	0	2000
10637.7	10651.1	0	2000
10653	10661.2	0	2000
10664.9	10666	0	2000
10667	10686	0	2000
10686.1	10691.5	0	2000
10692.9	10694.7	0	2000
10697	10705.2	0	2000
10713.9	10715.2	0	2000
10716	10726.2	0	2000
10727.2	10730.3	0	2000
10730.7	10742.8	0	2000
10759	10774	0	2000
10779.5	10795	0	2000
