Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
7213.1	7213.4	0	2000
7412.3	7412.4	0	2000
8075	8076.6	0	2000
8092.6	8094.2	0	2000
8145.3	8146.4	0	2000
8146.6	8147.1	0	2000
8150	8151.2	0	2000
8172.1	8172.4	0	2000
8220.5	8221	0	2000
8258.5	8259.8	0	2000
8262.9	8264.2	0	2000
8289.2	8290.2	0	2000
8293.9	8296.1	0	2000
8311.1	8314.3	0	2000
8388.6	8389.2	0	2000
8509.4	8510	0	2000
8531.1	8531.5	0	2000
8535.4	8536.2	0	2000
8557.1	8557.7	0	2000
8561.2	8561.8	0	2000
8577.9	8580.2	0	2000
8874.2	8874.3	0	2000
8878.7	8879	0	2000
8903.1	8903.8	0	2000
8907.1	8907.5	0	2000
8942.7	8943.6	0	2000
8946.5	8947.3	0	2000
8951.5	8952.1	0	2000
8955.7	8957.6	0	2000
8977.5	8978.1	0	2000
8982.2	8982.5	0	2000
9025.4	9026.3	0	2000
9041.9	9042.1	0	2000
9042.5	9043.1	0	2000
9058.7	9061.2	0	2000
