"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","Time_Start","Time_End","Humpback","instances","initial","streak"
"1",40.6329595667118,-0.944199016365034,0.153130564942841,2.88731917787211,6.75366749260665,3.66371086346216,3.13905757101882,1.32008694206089,-6.63507756172176,-2.9893369608087,0.265789704035119,2.98062511353035,0,0.1,0,0,0,0
"2",40.9321529588204,-1.50086758428238,-0.376723555815734,3.99875485149648,7.46892816230953,3.7469115978169,4.19545625436558,3.40346796135429,-3.24522334876434,-1.1736809308213,1.74918444081301,2.93736498491957,0.05,0.15,0,0,0,0
"3",40.9713107801047,-1.39913211290873,0.466687710123673,3.72028967695909,6.39198785354102,3.91824916341672,4.82214970679613,2.03258313902261,-3.77228938169827,-0.709069148354476,0.673790447036659,5.2361019468174,0.1,0.2,0,0,0,0
"4",39.3076966558614,-2.0038058016603,1.77179210361181,5.19193426554995,8.62767634618304,3.42903307061667,1.64489138427183,0.479191240467151,-2.57532581756108,0.418093386541817,-0.498080224638289,1.18279063878096,0.15,0.25,0,0,0,0
"5",39.9507240271158,-2.82069754043105,-0.262574208729438,5.0135005352196,8.95267720958169,3.17467188431461,3.26630046403181,2.5811425845973,-1.69199435344239,-0.608900089306902,-1.02816120768327,4.24505461308041,0.2,0.3,0,0,0,0
"6",39.8035169966681,-1.82676734716195,0.808313278153695,5.83607547697719,8.235161767065,1.02213881306732,0.274669010997762,0.829545717514816,-2.76247105301143,-0.134301247163515,1.58022472411919,5.90323090069917,0.25,0.35,0,0,0,0
"7",40.0377730347469,-2.34857951279591,-0.541004102473855,6.11767777348433,8.75812428996685,1.37686423151834,2.08934061744544,3.14105509270211,-3.58731080595238,-0.884336662854585,1.78069949792872,4.05961850351654,0.3,0.4,0,0,0,0
"8",38.9443801548719,-1.87250076130615,1.75731375793522,5.08881517988664,7.0758810341731,1.4094888941381,1.37446339363657,1.35639653170158,-3.24573056927292,-0.218697478748278,1.71928034245863,3.57777328437985,0.35,0.45,0,0,0,0
"9",39.4849734711863,-2.84320624212855,0.336780692384473,6.55808859787398,7.97874511107592,1.03577871916981,-0.714809066420998,0.104466060552841,-3.02999731965692,-0.016411411124948,0.471995785986654,3.85012724607757,0.4,0.5,0,0,0,0
"10",40.5766913318997,-0.572702503315449,2.07868067850256,5.53607151606043,8.28191911068861,0.695494033152457,-1.69855616653776,0.919337033158734,-4.50666110188059,-3.74931765849058,0.277912484732371,4.55327258890882,0.45,0.55,0,0,0,0
"11",40.8350933538225,-0.182438558045661,3.40556914933606,7.33406359176906,6.39962815090494,-0.917097850522633,-0.410557021253603,-1.18617666690557,-6.4268229983114,-1.57846706181644,0.976205824479679,1.78670994009915,0.5,0.6,0,0,0,0
"12",47.1024980969745,2.75045623216806,-3.27984626978992,-2.64187768731602,-0.575851578727156,-4.22215764414874,-0.290002878668559,3.23712984724328,2.62333569874654,4.04879006513402,0.283540019232182,3.76686187593092,0.55,0.65,0,0,0,0
"13",51.5728469856209,4.68398254564754,-4.4136184157901,-1.82562827264033,-2.38963963699706,-4.52386195270488,-1.18525021455791,-0.0216374308751042,2.65055751593341,1.65369288417052,-2.46684477104182,3.34942183829658,0.6,0.7,0,0,0,0
"14",39.363368405259,-1.43943187588592,2.41117295099714,5.59174927667884,7.49333285355677,2.38661571073645,1.79719902916464,-0.337424739118591,-4.78798091460371,0.42654050400425,0.00302857523293609,1.63409674481676,0.65,0.75,0,0,0,0
"15",40.5217877089834,-0.917274006908608,2.90556644182384,6.99246615995785,6.83590380108876,2.5805500070094,1.62259556168915,-0.0720620251999649,-5.15366025697413,-1.08647995979851,-0.428480286827953,0.746428197018364,0.7,0.8,0,0,0,0
"16",39.8015157723312,-2.00422483906657,1.17033498479518,5.7332759139739,8.02003434997779,2.77430095714385,2.40218849418265,1.79787942786297,-1.75330519044264,0.773342552677714,1.16255400512762,2.94716030072591,0.75,0.85,0,0,0,0
"17",40.1200594854311,-0.809951741839956,3.48474225978238,6.83569381753071,7.80028821549506,2.56813662857249,1.85317164919058,-0.367720801220885,-5.78834956630887,-2.55395547298738,-2.68720289505534,-0.307980992127748,0.8,0.9,0,0,0,0
"18",41.4705693825606,-2.32474300363518,-2.64043761150966,4.2483664778139,8.24913678054519,2.8687189175855,2.29116974058593,0.664331465897234,-1.56910246872981,4.5255445326542,2.39019413789849,2.48983162143196,0.85,0.95,0,0,0,0
"19",40.5347893128357,-2.37317749581217,-0.181719129694199,6.13468570987955,5.85803600466238,3.17595081032802,5.00542147914969,0.00793448264655948,-1.486013560232,4.32775348531633,-0.219635799341211,3.05282489475428,0.9,1,0,0,0,0
"20",41.0434620144506,-2.31065442573562,0.33534086431202,6.51649269948893,7.73978271895852,0.871180912411627,0.729605229289051,1.77613850035256,-3.74068106797354,0.430809095700567,3.46243895542573,3.65618077888433,0.95,1.05,0,0,0,0
"21",39.8659813042745,-1.28596943143819,1.46232079567602,3.81567413555149,7.32418880026092,2.32008220450423,0.626140190585311,1.76081685282247,-4.13026759183347,-0.885350492127859,0.0828439672041563,1.54448519857762,1,1.1,0,0,0,0
